area,area_title,naics,naics_title,occ code,occ title,o_group,i_group,tot_emp,emp_prse,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,43-9061,"Office Clerks, General",detailed,3-digit,40,48.9,1.35,16.32,33950,5.4,8.85,12.56,16.74,19.88,23.89,18420,26120,34810,41340,49680,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,45-0000,"Farming, Fishing, and Forestry Occupations",major,3-digit,1200,15,36.46,17.11,35600,3.3,10.52,13.03,15.87,19.2,26.81,21880,27100,33010,39940,55770,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,3-digit,60,20.6,1.68,26.56,55250,3.9,16.84,22.03,27.09,30.55,36.46,35020,45810,56350,63540,75840,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,45-2021,Animal Breeders,detailed,3-digit,230,35.1,7.11,20.21,42040,5.7,13.03,14.99,18.69,24,29.91,27100,31190,38870,49930,62220,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,45-2041,"Graders and Sorters, Agricultural Products",detailed,3-digit,90,20.6,2.6,13.84,28780,6.2,10.4,11.44,13.35,15.32,18.4,21630,23800,27770,31860,38280,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,45-2091,Agricultural Equipment Operators,detailed,3-digit,160,30.2,4.9,21.46,44640,7.4,14.55,16.38,18.94,26.87,31.81,30260,34070,39390,55890,66160,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,3-digit,180,36.6,5.48,15,31210,9.7,9.97,11.87,14.41,17.39,19.02,20730,24690,29980,36170,39560,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,3-digit,480,19.5,14.69,14.45,30060,3.7,9.49,12.04,14.46,17.22,19.11,19730,25050,30080,35820,39740,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,49-0000,"Installation, Maintenance, and Repair Occupations",major,3-digit,120,16.4,3.5,22.5,46800,3.8,14.52,18.88,22.4,26.49,30.92,30210,39280,46600,55100,64310,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,49-3041,Farm Equipment Mechanics and Service Technicians,detailed,3-digit,40,25.6,1.23,20.12,41840,4.2,14.18,16.83,20.21,23.4,26.7,29480,35020,42040,48670,55540,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,51-0000,Production Occupations,major,3-digit,120,26,3.77,16.7,34740,5.1,12.44,14,15.9,18.24,22.72,25870,29110,33070,37950,47260,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,51-9111,Packaging and Filling Machine Operators and Tenders,detailed,3-digit,90,31.5,2.8,15.25,31720,5.1,11.95,13.33,15.08,17.13,18.92,24850,27720,31360,35620,39360,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,53-0000,Transportation and Material Moving Occupations,major,3-digit,370,17.8,11.06,18.83,39160,4.8,10.11,13.82,18.12,23.03,28.07,21020,28740,37690,47900,58380,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,3-digit,190,27.8,5.76,19.43,40420,8,9.43,15.9,19.28,23.79,28.58,19610,33070,40110,49480,59450,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,53-3033,Light Truck Drivers,detailed,3-digit,50,31.3,1.5,19.53,40610,7.1,11.27,15.17,19.9,23.32,25.37,23450,31550,41380,48510,52770,,
55,Wisconsin,115000,Support Activities for Agriculture and Forestry,53-7065,Stockers and Order Fillers,detailed,3-digit,60,32.7,1.78,14.82,30830,6.6,10.27,11.81,14.81,17.8,19.62,21360,24570,30810,37030,40810,,
55,Wisconsin,115100,Support Activities for Crop Production,00-0000,All Occupations,total,4-digit,1230,13.1,100,20.16,41940,5,11.5,14.06,17.38,23.05,29.98,23930,29250,36150,47950,62350,,
55,Wisconsin,115100,Support Activities for Crop Production,11-0000,Management Occupations,major,4-digit,40,23.3,2.95,74.17,154270,20.4,29.3,36.51,53.52,#,#,60940,75950,111320,#,#,,
55,Wisconsin,115100,Support Activities for Crop Production,43-0000,Office and Administrative Support Occupations,major,4-digit,70,25.7,5.3,16.87,35090,6,8.7,12.59,17.23,21.08,24.21,18090,26180,35830,43850,50350,,
55,Wisconsin,115100,Support Activities for Crop Production,45-0000,"Farming, Fishing, and Forestry Occupations",major,4-digit,580,21.4,47.5,17.36,36110,5.4,11.37,13.42,16.16,18.9,27.59,23660,27910,33610,39310,57380,,
55,Wisconsin,115100,Support Activities for Crop Production,45-2041,"Graders and Sorters, Agricultural Products",detailed,4-digit,90,20.6,6.98,13.84,28780,6.2,10.4,11.44,13.35,15.32,18.4,21630,23800,27770,31860,38280,,
55,Wisconsin,115100,Support Activities for Crop Production,45-2091,Agricultural Equipment Operators,detailed,4-digit,160,30.2,13.18,21.46,44640,7.4,14.55,16.38,18.94,26.87,31.81,30260,34070,39390,55890,66160,,
55,Wisconsin,115100,Support Activities for Crop Production,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,4-digit,180,36.6,14.74,15,31210,9.7,9.97,11.87,14.41,17.39,19.02,20730,24690,29980,36170,39560,,
55,Wisconsin,115100,Support Activities for Crop Production,49-0000,"Installation, Maintenance, and Repair Occupations",major,4-digit,80,19.7,6.49,22.79,47390,5,14.67,19.33,22.42,26.34,31.94,30510,40200,46630,54790,66430,,
55,Wisconsin,115100,Support Activities for Crop Production,51-0000,Production Occupations,major,4-digit,120,26,10.14,16.7,34740,5.1,12.44,14,15.9,18.24,22.72,25870,29110,33070,37950,47260,,
55,Wisconsin,115100,Support Activities for Crop Production,51-9111,Packaging and Filling Machine Operators and Tenders,detailed,4-digit,90,31.5,7.52,15.25,31720,5.1,11.95,13.33,15.08,17.13,18.92,24850,27720,31360,35620,39360,,
55,Wisconsin,115100,Support Activities for Crop Production,53-0000,Transportation and Material Moving Occupations,major,4-digit,250,23.6,20.31,19.49,40550,6.5,9.75,14.42,18.54,23.9,29.46,20280,30000,38560,49700,61270,,
55,Wisconsin,115100,Support Activities for Crop Production,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,4-digit,180,30.1,14.29,19.16,39840,8.9,9.31,15.43,18.8,23.59,28.75,19370,32080,39100,49070,59810,,
55,Wisconsin,115200,Support Activities for Animal Production,00-0000,All Occupations,total,4-digit,2070,20.3,100,24.35,50650,3.5,11.91,15.17,20.23,29.82,42.91,24770,31550,42070,62020,89240,,
55,Wisconsin,115200,Support Activities for Animal Production,11-0000,Management Occupations,major,4-digit,120,26.4,5.83,48.87,101650,1.8,31.74,36.97,47.94,58.82,68.3,66030,76890,99710,122330,142070,,
55,Wisconsin,115200,Support Activities for Animal Production,13-0000,Business and Financial Operations Occupations,major,4-digit,80,29.6,4.09,28.09,58430,2.8,17.88,22.31,27.94,34.26,39.21,37190,46400,58110,71250,81560,,
55,Wisconsin,115200,Support Activities for Animal Production,19-0000,"Life, Physical, and Social Science Occupations",major,4-digit,**,**,**,27.52,57240,5.2,15.07,18.15,24.46,33.11,45.69,31340,37760,50870,68860,95040,,
55,Wisconsin,115200,Support Activities for Animal Production,19-1011,Animal Scientists,detailed,4-digit,290,29.7,13.92,34.59,71960,4.1,22.02,26.35,31.26,39.36,55.43,45800,54810,65010,81870,115300,,
55,Wisconsin,115200,Support Activities for Animal Production,19-4010,Agricultural and Food Science Technicians,detailed,4-digit,240,22.6,11.71,18.46,38390,4.2,12.5,15.24,17.68,21.13,24.08,26000,31690,36770,43960,50090,,
55,Wisconsin,115200,Support Activities for Animal Production,41-0000,Sales and Related Occupations,major,4-digit,170,26.5,7.98,36.6,76130,4.4,21.99,26.3,34.1,43.87,53.03,45730,54710,70930,91250,110300,,
55,Wisconsin,115200,Support Activities for Animal Production,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,4-digit,30,38.5,1.48,42.29,87960,8.1,27.98,31.95,38.29,48.09,63.47,58200,66460,79640,100030,132020,,
55,Wisconsin,115200,Support Activities for Animal Production,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,4-digit,120,26,5.95,35.1,73010,5.6,21.49,24.93,32.68,42.19,51.25,44690,51850,67980,87750,106600,,
55,Wisconsin,115200,Support Activities for Animal Production,43-0000,Office and Administrative Support Occupations,major,4-digit,280,24.9,13.56,17.19,35750,4,12.27,13.93,16.67,19.47,24,25510,28960,34680,40510,49930,,
55,Wisconsin,115200,Support Activities for Animal Production,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,4-digit,40,26.2,1.73,19.32,40180,4.8,15.37,16.7,18.57,21.73,25.33,31960,34730,38620,45190,52690,,
55,Wisconsin,115200,Support Activities for Animal Production,43-9061,"Office Clerks, General",detailed,4-digit,30,48.2,1.51,18.33,38130,4.9,12.75,15.29,18.33,21.68,24.77,26520,31810,38120,45100,51530,,
55,Wisconsin,115200,Support Activities for Animal Production,45-0000,"Farming, Fishing, and Forestry Occupations",major,4-digit,620,21.1,29.92,16.88,35120,3.8,9.87,12.66,15.54,19.57,25.75,20530,26330,32330,40710,53550,,
55,Wisconsin,115200,Support Activities for Animal Production,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,4-digit,30,25.1,1.52,25.51,53050,4.5,16.46,19.58,25.7,29.99,36.14,34230,40730,53450,62370,75180,,
55,Wisconsin,115200,Support Activities for Animal Production,45-2021,Animal Breeders,detailed,4-digit,230,35.1,11.33,20.21,42040,5.7,13.03,14.99,18.69,24,29.91,27100,31190,38870,49930,62220,,
55,Wisconsin,115200,Support Activities for Animal Production,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,4-digit,350,14.4,17.07,13.91,28930,4.2,8.94,10.82,13.72,16.67,19.18,18600,22510,28540,34670,39890,,
55,Wisconsin,115200,Support Activities for Animal Production,49-0000,"Installation, Maintenance, and Repair Occupations",major,4-digit,40,29.6,1.73,21.86,45470,5,13.68,18.06,22.36,26.69,29.83,28450,37560,46520,55520,62050,,
55,Wisconsin,115200,Support Activities for Animal Production,53-0000,Transportation and Material Moving Occupations,major,4-digit,120,23.9,5.59,17.39,36180,6.6,10.39,12.51,17.19,21.47,24.55,21620,26020,35750,44660,51070,,
55,Wisconsin,115200,Support Activities for Animal Production,53-7065,Stockers and Order Fillers,detailed,4-digit,60,32.7,2.84,14.82,30830,6.6,10.27,11.81,14.81,17.8,19.62,21360,24570,30810,37030,40810,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",00-0000,All Occupations,total,sector,3760,8.2,100,25.52,53080,2.4,15.86,18.76,22.83,28.8,37.41,32990,39020,47480,59890,77810,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",11-0000,Management Occupations,major,sector,130,13.4,3.5,59.62,124010,8.2,33.14,40.98,49.45,64.27,#,68940,85250,102870,133690,#,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",11-1021,General and Operations Managers,detailed,sector,50,23.2,1.34,80.84,168140,13,35.83,52.7,68.14,#,#,74520,109620,141740,#,#,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",11-3051,Industrial Production Managers,detailed,sector,40,15.5,1.12,43.2,89850,2.5,32.47,37.79,44.02,49.07,55.6,67530,78610,91560,102060,115650,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",13-0000,Business and Financial Operations Occupations,major,sector,130,13.3,3.51,31.69,65910,3.3,20.52,25.43,30.36,36.46,42.87,42670,52890,63160,75850,89170,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",19-0000,"Life, Physical, and Social Science Occupations",major,sector,100,15.5,2.55,23.34,48540,2.8,16.19,17.75,21.23,27.73,35.17,33680,36910,44160,57690,73150,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",19-2041,"Environmental Scientists and Specialists, Including Health",detailed,sector,40,30.3,0.94,24.97,51930,6.2,16.74,19.6,23.4,29.96,36.39,34820,40780,48680,62320,75700,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",41-0000,Sales and Related Occupations,major,sector,40,19,0.96,35.56,73960,11,14.43,23.9,31.98,43.28,50.41,30020,49710,66510,90030,104850,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",43-0000,Office and Administrative Support Occupations,major,sector,270,17.5,7.1,19.18,39900,2.5,12.29,16.37,19.41,22.48,24.65,25560,34050,40370,46750,51270,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,sector,80,29.3,2.12,18.85,39210,3.8,14.16,16.38,18.57,21.36,23.82,29450,34060,38630,44430,49550,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,sector,40,30.4,1.01,18.69,38880,5.3,13.26,16.51,19.26,21.81,23.67,27590,34350,40070,45360,49220,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,sector,70,29,1.83,16.95,35250,6.9,10.51,12.7,17.68,20.28,22.95,21850,26420,36780,42180,47740,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",47-0000,Construction and Extraction Occupations,major,sector,1410,9.3,37.52,26.08,54240,4.2,16.69,19.99,23.97,29.68,37,34710,41580,49860,61740,76970,,
55,Wisconsin,21,"Mining, Quarrying, and Oil and Gas Extraction",47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,sector,50,22.7,1.24,37.94,78920,14.7,24.89,27.3,31.02,39.47,70.82,51760,56780,64530,82100,147310,,
